TOWN NAME,LINK
HATFIELD,http://wsgw.mass.gov/data/gispub/gdb/l3parcels/M127_parcels_sde.gdb.zip
WEST SPRINGFIELD,http://wsgw.mass.gov/data/gispub/gdb/l3parcels/M325_parcels_sde.gdb.zip
